TIME_PERIOD;SEXO;EDAD;MEDIDAS;TERRITORIO;OBSERVACIONES
1999;Total;Menor de 1 año;Defunciones;Tenerife;40
1999;Total;Menor de 1 año;Defunciones;Lanzarote;4
1999;Total;Menor de 1 año;Defunciones;La Palma;2
1999;Total;Menor de 1 año;Defunciones;La Gomera;3
1999;Total;Menor de 1 año;Defunciones;Gran Canaria;41
1999;Total;Menor de 1 año;Defunciones;Fuerteventura;2
1999;Total;Menor de 1 año;Defunciones;El Hierro;0
1999;Total;Menor de 1 año;Defunciones;Canarias;92
1999;Total;95 años o más;Defunciones;Tenerife;135
1999;Total;95 años o más;Defunciones;Lanzarote;18
1999;Total;95 años o más;Defunciones;La Palma;23
1999;Total;95 años o más;Defunciones;La Gomera;3
1999;Total;95 años o más;Defunciones;Gran Canaria;143
1999;Total;95 años o más;Defunciones;Fuerteventura;6
1999;Total;95 años o más;Defunciones;El Hierro;3
1999;Total;95 años o más;Defunciones;Canarias;331
1999;Total;De 85 a 94 años;Defunciones;Tenerife;1111
1999;Total;De 85 a 94 años;Defunciones;Lanzarote;108
1999;Total;De 85 a 94 años;Defunciones;La Palma;233
1999;Total;De 85 a 94 años;Defunciones;La Gomera;34
1999;Total;De 85 a 94 años;Defunciones;Gran Canaria;1084
1999;Total;De 85 a 94 años;Defunciones;Fuerteventura;41
1999;Total;De 85 a 94 años;Defunciones;El Hierro;22
1999;Total;De 85 a 94 años;Defunciones;Canarias;2633
1999;Total;De 75 a 84 años;Defunciones;Tenerife;1434
1999;Total;De 75 a 84 años;Defunciones;Lanzarote;132
1999;Total;De 75 a 84 años;Defunciones;La Palma;248
1999;Total;De 75 a 84 años;Defunciones;La Gomera;44
1999;Total;De 75 a 84 años;Defunciones;Gran Canaria;1511
1999;Total;De 75 a 84 años;Defunciones;Fuerteventura;54
1999;Total;De 75 a 84 años;Defunciones;El Hierro;25
1999;Total;De 75 a 84 años;Defunciones;Canarias;3448
1999;Total;De 65 a 74 años;Defunciones;Tenerife;1028
1999;Total;De 65 a 74 años;Defunciones;Lanzarote;82
1999;Total;De 65 a 74 años;Defunciones;La Palma;130
1999;Total;De 65 a 74 años;Defunciones;La Gomera;14
1999;Total;De 65 a 74 años;Defunciones;Gran Canaria;1221
1999;Total;De 65 a 74 años;Defunciones;Fuerteventura;45
1999;Total;De 65 a 74 años;Defunciones;El Hierro;18
1999;Total;De 65 a 74 años;Defunciones;Canarias;2538
1999;Total;De 5 a 14 años;Defunciones;Tenerife;11
1999;Total;De 5 a 14 años;Defunciones;Lanzarote;2
1999;Total;De 5 a 14 años;Defunciones;La Palma;0
1999;Total;De 5 a 14 años;Defunciones;La Gomera;1
1999;Total;De 5 a 14 años;Defunciones;Gran Canaria;13
1999;Total;De 5 a 14 años;Defunciones;Fuerteventura;1
1999;Total;De 5 a 14 años;Defunciones;El Hierro;0
1999;Total;De 5 a 14 años;Defunciones;Canarias;28
1999;Total;De 55 a 64 años;Defunciones;Tenerife;553
1999;Total;De 55 a 64 años;Defunciones;Lanzarote;66
1999;Total;De 55 a 64 años;Defunciones;La Palma;46
1999;Total;De 55 a 64 años;Defunciones;La Gomera;11
1999;Total;De 55 a 64 años;Defunciones;Gran Canaria;595
1999;Total;De 55 a 64 años;Defunciones;Fuerteventura;31
1999;Total;De 55 a 64 años;Defunciones;El Hierro;2
1999;Total;De 55 a 64 años;Defunciones;Canarias;1304
1999;Total;De 45 a 54 años;Defunciones;Tenerife;302
1999;Total;De 45 a 54 años;Defunciones;Lanzarote;53
1999;Total;De 45 a 54 años;Defunciones;La Palma;33
1999;Total;De 45 a 54 años;Defunciones;La Gomera;2
1999;Total;De 45 a 54 años;Defunciones;Gran Canaria;352
1999;Total;De 45 a 54 años;Defunciones;Fuerteventura;20
1999;Total;De 45 a 54 años;Defunciones;El Hierro;4
1999;Total;De 45 a 54 años;Defunciones;Canarias;766
1999;Total;De 35 a 44 años;Defunciones;Tenerife;170
1999;Total;De 35 a 44 años;Defunciones;Lanzarote;26
1999;Total;De 35 a 44 años;Defunciones;La Palma;8
1999;Total;De 35 a 44 años;Defunciones;La Gomera;5
1999;Total;De 35 a 44 años;Defunciones;Gran Canaria;178
1999;Total;De 35 a 44 años;Defunciones;Fuerteventura;23
1999;Total;De 35 a 44 años;Defunciones;El Hierro;1
1999;Total;De 35 a 44 años;Defunciones;Canarias;411
1999;Total;De 25 a 34 años;Defunciones;Tenerife;119
1999;Total;De 25 a 34 años;Defunciones;Lanzarote;23
1999;Total;De 25 a 34 años;Defunciones;La Palma;9
1999;Total;De 25 a 34 años;Defunciones;La Gomera;4
1999;Total;De 25 a 34 años;Defunciones;Gran Canaria;106
1999;Total;De 25 a 34 años;Defunciones;Fuerteventura;10
1999;Total;De 25 a 34 años;Defunciones;El Hierro;0
1999;Total;De 25 a 34 años;Defunciones;Canarias;271
1999;Total;De 1 a 4 años;Defunciones;Tenerife;6
1999;Total;De 1 a 4 años;Defunciones;Lanzarote;0
1999;Total;De 1 a 4 años;Defunciones;La Palma;1
1999;Total;De 1 a 4 años;Defunciones;La Gomera;0
1999;Total;De 1 a 4 años;Defunciones;Gran Canaria;11
1999;Total;De 1 a 4 años;Defunciones;Fuerteventura;0
1999;Total;De 1 a 4 años;Defunciones;El Hierro;0
1999;Total;De 1 a 4 años;Defunciones;Canarias;18
1999;Total;De 15 a 24 años;Defunciones;Tenerife;56
1999;Total;De 15 a 24 años;Defunciones;Lanzarote;12
1999;Total;De 15 a 24 años;Defunciones;La Palma;4
1999;Total;De 15 a 24 años;Defunciones;La Gomera;1
1999;Total;De 15 a 24 años;Defunciones;Gran Canaria;75
1999;Total;De 15 a 24 años;Defunciones;Fuerteventura;11
1999;Total;De 15 a 24 años;Defunciones;El Hierro;0
1999;Total;De 15 a 24 años;Defunciones;Canarias;159
1999;Total;Total;Defunciones;Tenerife;4965
1999;Total;Total;Defunciones;Lanzarote;526
1999;Total;Total;Defunciones;La Palma;737
1999;Total;Total;Defunciones;La Gomera;122
1999;Total;Total;Defunciones;Gran Canaria;5330
1999;Total;Total;Defunciones;Fuerteventura;244
1999;Total;Total;Defunciones;El Hierro;75
1999;Total;Total;Defunciones;Canarias;11999
1999;Total;Menos de 7 días;Defunciones;Tenerife;16
1999;Total;Menos de 7 días;Defunciones;Lanzarote;3
1999;Total;Menos de 7 días;Defunciones;La Palma;1
