fechas;granularidad_espacial;granularidad_temporal;territorio;valor
2002-01;regional;mensual;CCAA_CASTILLA_MANCHA;74.99
2002-02;regional;mensual;CCAA_CASTILLA_MANCHA;75.04
2002-03;regional;mensual;CCAA_CASTILLA_MANCHA;75.64
2002-04;regional;mensual;CCAA_CASTILLA_MANCHA;76.64
2002-05;regional;mensual;CCAA_CASTILLA_MANCHA;76.93
2002-06;regional;mensual;CCAA_CASTILLA_MANCHA;77.19
2002-07;regional;mensual;CCAA_CASTILLA_MANCHA;76.35
2002-08;regional;mensual;CCAA_CASTILLA_MANCHA;76.4
2002-09;regional;mensual;CCAA_CASTILLA_MANCHA;76.63
2002-10;regional;mensual;CCAA_CASTILLA_MANCHA;77.59
2002-11;regional;mensual;CCAA_CASTILLA_MANCHA;77.83
2002-12;regional;mensual;CCAA_CASTILLA_MANCHA;77.89
2003-01;regional;mensual;CCAA_CASTILLA_MANCHA;77.2
2003-02;regional;mensual;CCAA_CASTILLA_MANCHA;77.37
2003-03;regional;mensual;CCAA_CASTILLA_MANCHA;77.81
2003-04;regional;mensual;CCAA_CASTILLA_MANCHA;78.85
2003-05;regional;mensual;CCAA_CASTILLA_MANCHA;79.01
2003-06;regional;mensual;CCAA_CASTILLA_MANCHA;79.21
2003-07;regional;mensual;CCAA_CASTILLA_MANCHA;78.42
2003-08;regional;mensual;CCAA_CASTILLA_MANCHA;78.54
2003-09;regional;mensual;CCAA_CASTILLA_MANCHA;78.68
2003-10;regional;mensual;CCAA_CASTILLA_MANCHA;79.54
2003-11;regional;mensual;CCAA_CASTILLA_MANCHA;79.73
2003-12;regional;mensual;CCAA_CASTILLA_MANCHA;79.86
2004-01;regional;mensual;CCAA_CASTILLA_MANCHA;78.9
2004-02;regional;mensual;CCAA_CASTILLA_MANCHA;79.09
2004-03;regional;mensual;CCAA_CASTILLA_MANCHA;79.68
2004-04;regional;mensual;CCAA_CASTILLA_MANCHA;80.84
2004-05;regional;mensual;CCAA_CASTILLA_MANCHA;81.14
2004-06;regional;mensual;CCAA_CASTILLA_MANCHA;81.36
2004-07;regional;mensual;CCAA_CASTILLA_MANCHA;80.43
2004-08;regional;mensual;CCAA_CASTILLA_MANCHA;80.54
2004-09;regional;mensual;CCAA_CASTILLA_MANCHA;80.69
2004-10;regional;mensual;CCAA_CASTILLA_MANCHA;81.74
2004-11;regional;mensual;CCAA_CASTILLA_MANCHA;82.04
2004-12;regional;mensual;CCAA_CASTILLA_MANCHA;82.18
2005-01;regional;mensual;CCAA_CASTILLA_MANCHA;81.08
2005-02;regional;mensual;CCAA_CASTILLA_MANCHA;81.12
2005-03;regional;mensual;CCAA_CASTILLA_MANCHA;81.71
2005-04;regional;mensual;CCAA_CASTILLA_MANCHA;82.98
2005-05;regional;mensual;CCAA_CASTILLA_MANCHA;83.24
2005-06;regional;mensual;CCAA_CASTILLA_MANCHA;83.37
2005-07;regional;mensual;CCAA_CASTILLA_MANCHA;82.22
2005-08;regional;mensual;CCAA_CASTILLA_MANCHA;82.35
2005-09;regional;mensual;CCAA_CASTILLA_MANCHA;82.73
2005-10;regional;mensual;CCAA_CASTILLA_MANCHA;83.78
2005-11;regional;mensual;CCAA_CASTILLA_MANCHA;84.16
2005-12;regional;mensual;CCAA_CASTILLA_MANCHA;84.41
2006-01;regional;mensual;CCAA_CASTILLA_MANCHA;83.39
2006-02;regional;mensual;CCAA_CASTILLA_MANCHA;83.52
2006-03;regional;mensual;CCAA_CASTILLA_MANCHA;84.33
