TIME_PERIOD;MEDIDAS;TERRITORIO;ACTIVIDAD_ECONOMICA;OBSERVACIONES
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;"Otras actividades profesionales, científicas y técnicas; actividades veterinarias";1
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Fabricación de vehículos de motor, remolques y semirremolques;0
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Almacenamiento y actividades anexas al transporte;3
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Servicios;208
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Agricultura, ganadería, silvicultura y pesca;21
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;"Administración pública y defensa; seguridad social obligatoria";0
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;"Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio";11
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Captación, depuración y distribución de agua;2
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Servicios financieros, excepto seguros y fondos de pensiones;1
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Industria;14
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Actividades auxiliares a los servicios financieros y a los seguros;1
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Silvicultura y explotación forestal;0
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Industria del papel;0
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;"Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical; actividades de programación y emisión de radio y televisión";1
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Fabricación de otros productos minerales no metálicos;1
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Actividades relacionadas con el empleo;0
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Actividades sanitarias;2
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Industria de la alimentación, bebidas y tabaco;7
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Fabricación de maquinaria y equipo n.c.o.p.;0
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Comercio al por menor, excepto de vehículos de motor y motocicletas;50
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;"Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones";0
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;0
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Reparación de ordenadores, efectos personales y artículos de uso doméstico;1
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Transporte aéreo;0
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Telecomunicaciones;0
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;"Recogida y tratamiento de aguas residuales; recogida, tratamiento y eliminación de residuos; valorización; actividades de descontaminación y otros servicios de gestión de residuos";0
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Fabricación de otro material de transporte;0
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Edición;0
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Industria textil, confección de prendas de vestir, industria del cuero y del calzado;0
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Investigación y desarrollo;0
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;5
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Coquerías y refino de petróleo;0
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Agricultura, ganadería, caza y servicios relacionados con las mismas;11
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Actividades postales y de correos;0
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Actividades inmobiliarias;2
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Transporte terrestre y por tubería;7
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Industrias extractivas;1
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Fabricación de productos farmacéuticos;0
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Construcción;33
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;1
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Industria química;0
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Construcción;33
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Fabricación de productos metálicos, excepto maquinaria y equipo;1
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;"Actividades jurídicas y de contabilidad; actividades de las sedes centrales; actividades de consultoría de gestión empresarial";8
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Hostelería;66
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Artes gráficas y reproducción de soportes grabados;1
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Actividades de servicios sociales;2
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;"Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos";3
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Fabricación de productos informáticos, electrónicos y ópticos;0
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Total;276
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Educación;5
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Venta y reparación de vehículos de motor y motocicletas;6
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Actividades deportivas, recreativas y de entretenimiento;3
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Fabricación de productos de caucho y plásticos;0
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;"Fabricación de muebles; otras industrias manufactureras";0
